firm,Ticker,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Net Income From Continuing Ops,Profit Margin(%),EBIT Margin,SG&A to Revenue Ratio,Tax rate
Devon Energy,DVN,"? 3,20,00,000.00","? 21,30,00,000.00","? 10,70,00,000.00","? 1,29,10,00,000.00","? 20,20,00,000.00","? 20,20,00,000.00","? 10,50,00,000.00","? 24,80,00,000.00","? 2,46,10,00,000.00","? 2,25,90,00,000.00","? 1,17,00,00,000.00","? 21,60,00,000.00",16.50%,15.65%,8.29%,765.63%
Devon Energy,DVN,"? 11,00,00,000.00","? 10,20,00,000.00","? 8,20,00,000.00","? 51,10,00,000.00","? 2,81,90,00,000.00","? 2,81,90,00,000.00","? 6,40,00,000.00","? 3,70,00,000.00","? 1,35,00,00,000.00","? 1,46,90,00,000.00","? 83,90,00,000.00","? 7,30,00,000.00",-19.96%,551.66%,16.05%,7.27%
Devon Energy,DVN,"? 19,30,00,000.00","? 9,20,00,000.00","? 7,50,00,000.00","? 40,90,00,000.00","? 9,50,00,000.00","? 9,50,00,000.00","? 6,50,00,000.00","? 9,00,00,000.00","? 1,11,20,00,000.00","? 1,20,70,00,000.00","? 70,30,00,000.00","? 10,30,00,000.00",-22.49%,-23.23%,18.34%,52.33%
DexCom,DXCM,"? 7,67,00,000.00","? 6,29,00,000.00","? 18,70,00,000.00","? 41,71,00,000.00","? 10,10,00,000.00","? 10,10,00,000.00","? 2,52,00,000.00","? 1,38,00,000.00","? 59,51,00,000.00","? 49,41,00,000.00","? 17,80,00,000.00","? 6,29,00,000.00",15.08%,24.21%,44.83%,17.99%
DexCom,DXCM,"? 2,12,00,000.00","? 4,03,00,000.00","? 18,86,00,000.00","? 34,39,00,000.00","? 4,59,00,000.00","? 4,59,00,000.00","? 2,48,00,000.00","? 1,91,00,000.00","? 50,50,00,000.00","? 45,91,00,000.00","? 16,11,00,000.00","? 4,03,00,000.00",11.72%,13.35%,54.84%,-90.09%
DexCom,DXCM,"? 8,13,00,000.00","? 35,52,00,000.00","? 17,59,00,000.00","? 39,91,00,000.00","? 10,40,00,000.00","? 10,40,00,000.00","? 2,46,00,000.00","? 27,39,00,000.00","? 56,89,00,000.00","? 46,49,00,000.00","? 16,98,00,000.00","? 35,52,00,000.00",89.00%,26.06%,44.07%,-336.90%
DexCom,DXCM,"? 7,51,00,000.00","? 7,22,00,000.00","? 15,86,00,000.00","? 34,04,00,000.00","? 9,41,00,000.00","? 9,41,00,000.00","? 2,44,00,000.00","? 29,00,000.00","? 50,09,00,000.00","? 40,68,00,000.00","? 16,05,00,000.00","? 7,22,00,000.00",21.21%,27.64%,46.59%,3.86%
Diamondback Energy,FANG,"? 28,80,00,000.00","? 22,00,00,000.00","? 2,50,00,000.00","? 96,20,00,000.00","? 35,50,00,000.00","? 35,50,00,000.00","? 7,20,00,000.00","? 6,50,00,000.00","? 1,12,30,00,000.00","? 76,80,00,000.00","? 16,10,00,000.00","? 22,30,00,000.00",22.87%,36.90%,2.60%,23.61%
Diamondback Energy,FANG,"? 95,80,00,000.00","? 73,90,00,000.00","? 2,40,00,000.00","? 57,70,00,000.00","? 4,80,00,000.00","? 4,80,00,000.00","? 7,20,00,000.00","? 20,20,00,000.00","? 72,90,00,000.00","? 68,10,00,000.00","? 15,20,00,000.00","? 75,60,00,000.00",-128.08%,8.32%,4.16%,22.86%
Diamondback Energy,FANG,"? 1,40,90,00,000.00","? 1,11,30,00,000.00","? 2,00,00,000.00","? 52,20,00,000.00","? 9,10,00,000.00","? 9,10,00,000.00","? 4,80,00,000.00","? 30,40,00,000.00","? 68,30,00,000.00","? 59,20,00,000.00","? 16,10,00,000.00","? 1,10,50,00,000.00",-213.22%,17.43%,3.83%,21.01%
Diamondback Energy,FANG,"? 3,09,20,00,000.00","? 2,39,30,00,000.00","? 2,00,00,000.00","? 23,30,00,000.00","? 48,60,00,000.00","? 48,60,00,000.00","? 5,40,00,000.00","? 68,10,00,000.00","? 40,40,00,000.00","? 89,00,00,000.00","? 17,10,00,000.00","? 2,41,10,00,000.00",-1027.04%,-208.58%,8.58%,22.61%
Digital Realty Trust,DLR,"? 17,33,80,000.00","? 12,12,54,000.00","? 9,74,92,000.00","? 71,36,17,000.00","? 24,48,46,000.00","? 24,48,46,000.00","? 7,50,14,000.00","? 4,75,82,000.00","? 1,14,53,31,000.00","? 90,04,85,000.00","? 43,17,14,000.00","? 12,57,98,000.00",16.99%,34.31%,13.66%,30.06%
Digital Realty Trust,DLR,"? 40,22,23,000.00","? 38,59,20,000.00","? 9,99,94,000.00","? 63,89,58,000.00","? 16,94,88,000.00","? 16,94,88,000.00","? 7,56,53,000.00","? 75,47,000.00","? 1,06,73,60,000.00","? 89,78,72,000.00","? 42,84,02,000.00","? 39,46,76,000.00",60.40%,26.53%,15.65%,4.05%
Digital Realty Trust,DLR,"? 6,28,30,000.00","? 5,76,91,000.00","? 17,81,88,000.00","? 67,33,52,000.00","? 21,06,08,000.00","? 21,06,08,000.00","? 7,78,83,000.00","? 33,22,000.00","? 1,09,36,64,000.00","? 88,30,56,000.00","? 42,03,12,000.00","? 5,95,08,000.00",8.57%,31.28%,26.46%,8.18%
Digital Realty Trust,DLR,"? 1,45,99,000.00","? 1,38,000.00","? 9,13,52,000.00","? 62,12,74,000.00","? 16,37,82,000.00","? 16,37,82,000.00","? 8,94,99,000.00","? 1,60,53,000.00","? 1,02,26,12,000.00","? 85,88,30,000.00","? 40,13,38,000.00","? 14,54,000.00",-0.02%,26.36%,14.70%,100.95%
Discover Financial Services,DFS,"? 2,22,20,00,000.00","? 1,69,80,00,000.00","? 88,20,00,000.00","? 3,29,90,00,000.00",? 0.00,"? 2,31,40,00,000.00",,"? 52,40,00,000.00","? 3,44,40,00,000.00","? 1,13,00,00,000.00","? 14,50,00,000.00","? 1,69,80,00,000.00",51.47%,0.00%,26.74%,23.58%
Discover Financial Services,DFS,"? 2,07,90,00,000.00","? 1,59,30,00,000.00","? 86,60,00,000.00","? 3,05,10,00,000.00",? 0.00,"? 2,07,90,00,000.00",,"? 48,60,00,000.00","? 3,16,00,00,000.00","? 1,08,10,00,000.00","? 10,90,00,000.00","? 1,59,30,00,000.00",52.21%,0.00%,28.38%,23.38%
Discover Financial Services,DFS,"? 1,01,50,00,000.00","? 79,90,00,000.00","? 88,50,00,000.00","? 2,09,50,00,000.00",? 0.00,"? 1,11,10,00,000.00",,"? 21,60,00,000.00","? 2,29,30,00,000.00","? 1,18,20,00,000.00","? 19,80,00,000.00","? 79,90,00,000.00",38.14%,0.00%,42.24%,21.28%
Discover Financial Services,DFS,"? 95,90,00,000.00","? 77,10,00,000.00","? 78,80,00,000.00","? 1,85,30,00,000.00",? 0.00,"? 95,90,00,000.00",,"? 18,80,00,000.00","? 1,96,40,00,000.00","? 1,00,50,00,000.00","? 11,10,00,000.00","? 77,10,00,000.00",41.61%,0.00%,42.53%,19.60%
Discovery (Series A),DISCA,"? 29,70,00,000.00","? 14,00,00,000.00","? 1,04,70,00,000.00","? 1,82,30,00,000.00","? 41,50,00,000.00","? 41,50,00,000.00","? 17,30,00,000.00","? 10,60,00,000.00","? 2,79,20,00,000.00","? 2,37,70,00,000.00","? 96,90,00,000.00","? 19,10,00,000.00",7.68%,22.76%,57.43%,52.86%
Discovery (Series A),DISCA,"? 41,60,00,000.00","? 27,10,00,000.00","? 80,30,00,000.00","? 1,79,70,00,000.00","? 63,60,00,000.00","? 63,60,00,000.00","? 17,30,00,000.00","? 9,80,00,000.00","? 2,88,60,00,000.00","? 2,25,00,00,000.00","? 1,08,90,00,000.00","? 31,80,00,000.00",15.08%,35.39%,44.69%,34.86%
Discovery (Series A),DISCA,"? 31,90,00,000.00","? 30,00,00,000.00","? 63,30,00,000.00","? 1,55,90,00,000.00","? 58,50,00,000.00","? 58,50,00,000.00","? 17,10,00,000.00","? 1,10,00,000.00","? 2,56,10,00,000.00","? 1,97,60,00,000.00","? 1,00,20,00,000.00","? 33,00,00,000.00",19.24%,37.52%,40.60%,5.96%
Discovery (Series A),DISCA,"? 45,60,00,000.00","? 27,10,00,000.00","? 63,50,00,000.00","? 1,73,70,00,000.00","? 76,80,00,000.00","? 76,80,00,000.00","? 17,20,00,000.00","? 15,60,00,000.00","? 2,54,10,00,000.00","? 1,77,30,00,000.00","? 80,40,00,000.00","? 30,00,00,000.00",15.60%,44.21%,36.56%,40.57%
Discovery (Series C),DISCK,"? 29,70,00,000.00","? 14,00,00,000.00","? 1,04,70,00,000.00","? 1,82,30,00,000.00","? 41,50,00,000.00","? 41,50,00,000.00","? 17,30,00,000.00","? 10,60,00,000.00","? 2,79,20,00,000.00","? 2,37,70,00,000.00","? 96,90,00,000.00","? 19,10,00,000.00",7.68%,22.76%,57.43%,52.86%
Discovery (Series C),DISCK,"? 41,60,00,000.00","? 27,10,00,000.00","? 80,30,00,000.00","? 1,79,70,00,000.00","? 63,60,00,000.00","? 63,60,00,000.00","? 17,30,00,000.00","? 9,80,00,000.00","? 2,88,60,00,000.00","? 2,25,00,00,000.00","? 1,08,90,00,000.00","? 31,80,00,000.00",15.08%,35.39%,44.69%,34.86%
Discovery (Series C),DISCK,"? 31,90,00,000.00","? 30,00,00,000.00","? 63,30,00,000.00","? 1,55,90,00,000.00","? 58,50,00,000.00","? 58,50,00,000.00","? 17,10,00,000.00","? 1,10,00,000.00","? 2,56,10,00,000.00","? 1,97,60,00,000.00","? 1,00,20,00,000.00","? 33,00,00,000.00",19.24%,37.52%,40.60%,5.96%
Discovery (Series C),DISCK,"? 45,60,00,000.00","? 27,10,00,000.00","? 63,50,00,000.00","? 1,73,70,00,000.00","? 76,80,00,000.00","? 76,80,00,000.00","? 17,20,00,000.00","? 15,60,00,000.00","? 2,54,10,00,000.00","? 1,77,30,00,000.00","? 80,40,00,000.00","? 30,00,00,000.00",15.60%,44.21%,36.56%,40.57%
Dish Network,DISH,"? 89,89,89,000.00","? 67,10,47,000.00","? 50,79,09,000.00","? 1,60,10,37,000.00","? 90,67,38,000.00","? 90,67,38,000.00","? 38,25,000.00","? 21,75,38,000.00","? 4,48,69,60,000.00","? 3,58,02,22,000.00","? 2,88,59,23,000.00","? 68,14,51,000.00",41.91%,56.63%,31.72%,25.36%
Dish Network,DISH,"? 85,74,12,000.00","? 63,02,24,000.00","? 48,16,86,000.00","? 1,53,66,47,000.00","? 86,45,76,000.00","? 86,45,76,000.00","? 38,73,000.00","? 21,58,49,000.00","? 4,49,78,53,000.00","? 3,63,32,77,000.00","? 2,96,12,06,000.00","? 64,15,63,000.00",41.01%,56.26%,31.35%,26.50%
Dish Network,DISH,"? 98,97,09,000.00","? 73,26,32,000.00","? 42,92,61,000.00","? 1,61,54,25,000.00","? 98,96,39,000.00","? 98,96,39,000.00","? 38,73,000.00","? 22,84,11,000.00","? 4,55,73,65,000.00","? 3,56,77,26,000.00","? 2,94,19,40,000.00","? 76,12,98,000.00",45.35%,61.26%,26.57%,25.98%
Dish Network,DISH,"? 80,64,73,000.00","? 50,45,99,000.00","? 51,66,48,000.00","? 1,52,69,79,000.00","? 81,12,48,000.00","? 81,12,48,000.00","? 67,78,000.00","? 27,35,14,000.00","? 4,53,15,91,000.00","? 3,72,03,43,000.00","? 3,00,46,12,000.00","? 53,29,59,000.00",33.05%,53.13%,33.83%,37.43%
Dollar General,DG,"? 86,84,58,000.00","? 67,77,49,000.00","? 1,84,68,18,000.00","? 2,75,56,68,000.00","? 90,88,50,000.00","? 90,88,50,000.00","? 4,03,92,000.00","? 19,07,09,000.00","? 8,40,09,64,000.00","? 7,49,21,14,000.00","? 5,64,52,96,000.00","? 67,77,49,000.00",24.59%,32.98%,67.02%,21.96%
Dollar General,DG,"? 83,19,56,000.00","? 64,27,43,000.00","? 1,86,17,71,000.00","? 2,73,66,95,000.00","? 87,49,24,000.00","? 87,49,24,000.00","? 4,02,68,000.00","? 18,92,13,000.00","? 8,41,45,24,000.00","? 7,53,96,00,000.00","? 5,67,78,29,000.00","? 64,27,43,000.00",23.49%,31.97%,68.03%,22.74%
Dollar General,DG,"? 73,28,32,000.00","? 57,42,60,000.00","? 1,79,51,10,000.00","? 2,56,82,40,000.00","? 77,31,30,000.00","? 77,31,30,000.00","? 4,02,98,000.00","? 15,85,72,000.00","? 8,19,96,25,000.00","? 7,42,64,95,000.00","? 5,63,13,85,000.00","? 57,42,60,000.00",22.36%,30.10%,69.90%,21.64%
Dollar General,DG,"? 1,00,33,01,000.00","? 78,76,01,000.00","? 1,77,56,08,000.00","? 2,81,82,35,000.00","? 1,04,26,27,000.00","? 1,04,26,27,000.00","? 3,93,26,000.00","? 21,57,00,000.00","? 8,68,42,41,000.00","? 7,64,16,14,000.00","? 5,86,60,06,000.00","? 78,76,01,000.00",27.95%,37.00%,63.00%,21.50%
Dollar Tree,DLTR,"? 48,69,00,000.00","? 37,45,00,000.00","? 1,44,71,00,000.00","? 1,96,70,00,000.00","? 51,99,00,000.00","? 51,99,00,000.00","? 3,30,00,000.00","? 11,24,00,000.00","? 6,47,97,00,000.00","? 5,95,98,00,000.00","? 4,51,27,00,000.00","? 37,45,00,000.00",19.04%,26.43%,73.57%,23.08%
Dollar Tree,DLTR,"? 64,74,00,000.00","? 50,28,00,000.00","? 1,39,42,00,000.00","? 2,16,04,00,000.00","? 71,81,00,000.00","? 71,81,00,000.00","? 3,42,00,000.00","? 14,46,00,000.00","? 6,76,79,00,000.00","? 6,04,98,00,000.00","? 4,60,75,00,000.00","? 50,28,00,000.00",23.27%,33.24%,64.53%,22.34%
Dollar Tree,DLTR,"? 42,73,00,000.00","? 33,00,00,000.00","? 1,42,35,00,000.00","? 1,93,53,00,000.00","? 51,18,00,000.00","? 51,18,00,000.00","? 3,81,00,000.00","? 9,73,00,000.00","? 6,17,70,00,000.00","? 5,66,52,00,000.00","? 4,24,17,00,000.00","? 33,00,00,000.00",17.05%,26.45%,73.55%,22.77%
Dollar Tree,DLTR,"? 33,99,00,000.00","? 26,15,00,000.00","? 1,41,91,00,000.00","? 1,92,76,00,000.00","? 50,85,00,000.00","? 50,85,00,000.00","? 3,48,00,000.00","? 7,84,00,000.00","? 6,27,76,00,000.00","? 5,76,91,00,000.00","? 4,35,00,00,000.00","? 26,15,00,000.00",13.57%,26.38%,73.62%,23.07%
Dominion Energy,D,"? 22,20,00,000.00","? 28,50,00,000.00","? 11,40,00,000.00","? 1,51,00,00,000.00","? 78,60,00,000.00","? 78,60,00,000.00","? 51,80,00,000.00","? 4,70,00,000.00","? 3,03,80,00,000.00","? 2,25,20,00,000.00","? 1,52,80,00,000.00","? 26,90,00,000.00",18.87%,52.05%,-7.55%,-28.38%
Dominion Energy,D,"? 1,19,20,00,000.00","? 1,00,80,00,000.00","? 12,40,00,000.00","? 1,88,60,00,000.00","? 1,25,70,00,000.00","? 1,25,70,00,000.00","? 5,30,00,000.00","? 21,20,00,000.00","? 3,87,00,00,000.00","? 2,61,30,00,000.00","? 1,98,40,00,000.00","? 98,00,00,000.00",53.45%,66.65%,-6.57%,15.44%
Dominion Energy,D,"? 1,02,10,00,000.00","? 68,20,00,000.00","? 48,60,00,000.00","? 1,76,20,00,000.00","? 75,00,00,000.00","? 75,00,00,000.00","? 27,20,00,000.00","? 20,60,00,000.00","? 3,52,10,00,000.00","? 2,77,10,00,000.00","? 1,75,90,00,000.00","? 81,50,00,000.00",38.71%,42.57%,-27.58%,33.20%
Dominion Energy,D,"? 20,00,000.00","? 35,60,00,000.00","? 3,10,00,000.00","? 1,99,80,00,000.00","? 95,10,00,000.00","? 95,10,00,000.00","? 30,60,00,000.00","? 11,00,00,000.00","? 3,60,70,00,000.00","? 2,65,60,00,000.00","? 1,60,90,00,000.00","? 11,20,00,000.00",17.82%,47.60%,1.55%,-17700.00%
Domino's Pizza,DPZ,"? 14,50,93,000.00","? 11,66,19,000.00","? 10,04,48,000.00","? 29,13,50,000.00","? 19,09,02,000.00","? 19,09,02,000.00","? 4,58,77,000.00","? 2,84,74,000.00","? 1,03,24,72,000.00","? 84,15,70,000.00","? 74,11,22,000.00","? 11,66,19,000.00",40.03%,65.52%,34.48%,19.62%
Domino's Pizza,DPZ,"? 14,96,38,000.00","? 11,77,61,000.00","? 9,12,53,000.00","? 27,77,91,000.00","? 18,65,38,000.00","? 18,65,38,000.00","? 3,94,22,000.00","? 3,18,77,000.00","? 98,36,98,000.00","? 79,71,60,000.00","? 70,59,07,000.00","? 11,77,61,000.00",42.39%,67.15%,32.85%,21.30%
Domino's Pizza,DPZ,"? 18,95,65,000.00","? 15,18,97,000.00","? 13,84,04,000.00","? 38,24,48,000.00","? 24,40,44,000.00","? 24,40,44,000.00","? 5,44,79,000.00","? 3,76,68,000.00","? 1,35,65,67,000.00","? 1,11,25,23,000.00","? 97,41,19,000.00","? 15,18,97,000.00",39.72%,63.81%,36.19%,19.87%
Domino's Pizza,DPZ,"? 12,37,73,000.00","? 9,91,29,000.00","? 9,16,52,000.00","? 25,38,33,000.00","? 16,21,81,000.00","? 16,21,81,000.00","? 3,86,05,000.00","? 2,46,44,000.00","? 96,77,19,000.00","? 80,55,38,000.00","? 71,38,86,000.00","? 9,91,29,000.00",39.05%,63.89%,36.11%,19.91%
Dover Corporation,DOV,"? 32,75,19,000.00","? 26,37,56,000.00","? 37,42,39,000.00","? 75,67,73,000.00","? 34,81,34,000.00","? 34,81,34,000.00","? 2,64,33,000.00","? 6,37,63,000.00","? 2,01,82,69,000.00","? 1,67,01,35,000.00","? 1,26,14,96,000.00","? 26,37,56,000.00",34.85%,46.00%,49.45%,19.47%
Dover Corporation,DOV,"? 32,33,44,000.00","? 26,45,08,000.00","? 38,09,32,000.00","? 77,70,11,000.00","? 35,48,79,000.00","? 35,48,79,000.00","? 2,66,61,000.00","? 5,88,36,000.00","? 2,03,16,76,000.00","? 1,67,67,97,000.00","? 1,25,46,65,000.00","? 26,45,08,000.00",34.04%,45.67%,49.03%,18.20%
Dover Corporation,DOV,"? 28,92,50,000.00","? 23,27,69,000.00","? 36,39,54,000.00","? 72,54,55,000.00","? 32,03,01,000.00","? 32,03,01,000.00","? 2,68,23,000.00","? 5,64,81,000.00","? 1,86,79,01,000.00","? 1,54,76,00,000.00","? 1,14,24,46,000.00","? 23,27,69,000.00",32.09%,44.15%,50.17%,19.53%
Dover Corporation,DOV,"? 22,04,08,000.00","? 18,21,06,000.00","? 25,08,88,000.00","? 65,85,35,000.00","? 26,55,46,000.00","? 26,55,46,000.00","? 2,82,34,000.00","? 3,83,02,000.00","? 1,78,03,90,000.00","? 1,51,48,44,000.00","? 1,12,18,55,000.00","? 18,21,06,000.00",27.65%,40.32%,38.10%,17.38%
Dow,DOW,"? 2,45,60,00,000.00","? 1,90,10,00,000.00","? 35,40,00,000.00","? 3,24,70,00,000.00","? 2,56,50,00,000.00","? 2,56,50,00,000.00","? 18,70,00,000.00","? 52,40,00,000.00","? 13,88,50,00,000.00","? 11,32,00,00,000.00","? 10,63,80,00,000.00","? 1,93,20,00,000.00",58.55%,79.00%,10.90%,22.60%
Dow,DOW,"? 1,32,30,00,000.00","? 99,10,00,000.00","? 29,10,00,000.00","? 1,82,00,00,000.00","? 1,23,40,00,000.00","? 1,23,40,00,000.00","? 19,60,00,000.00","? 31,70,00,000.00","? 11,88,20,00,000.00","? 10,64,80,00,000.00","? 10,06,20,00,000.00","? 1,00,60,00,000.00",54.45%,67.80%,15.99%,25.09%
Dow,DOW,"? 1,81,60,00,000.00","? 1,23,60,00,000.00","? 40,50,00,000.00","? 1,56,70,00,000.00","? 84,70,00,000.00","? 84,70,00,000.00","? 21,00,00,000.00","? 56,20,00,000.00","? 10,70,60,00,000.00","? 9,85,90,00,000.00","? 9,13,90,00,000.00","? 1,25,40,00,000.00",78.88%,54.05%,25.85%,31.94%
Dow,DOW,"? 4,20,00,000.00","? 2,50,00,000.00","? 34,60,00,000.00","? 1,34,10,00,000.00","? 70,20,00,000.00","? 70,20,00,000.00","? 20,20,00,000.00","? 4,30,00,000.00","? 9,71,20,00,000.00","? 9,01,00,00,000.00","? 8,37,10,00,000.00","? 10,00,000.00",-1.86%,52.35%,25.80%,159.52%
DTE Energy,DTE,"? 20,10,00,000.00","? 17,90,00,000.00","? 30,00,000.00","? 88,50,00,000.00","? 38,80,00,000.00","? 38,80,00,000.00","? 19,00,00,000.00","? 2,20,00,000.00","? 3,22,90,00,000.00","? 2,84,10,00,000.00","? 2,34,40,00,000.00","? 17,90,00,000.00",20.23%,43.84%,0.34%,10.95%
DTE Energy,DTE,"? 42,50,00,000.00","? 39,70,00,000.00","? 40,00,000.00","? 1,02,60,00,000.00","? 53,20,00,000.00","? 53,20,00,000.00","? 18,10,00,000.00","? 2,80,00,000.00","? 3,77,80,00,000.00","? 3,24,60,00,000.00","? 2,75,20,00,000.00","? 39,70,00,000.00",38.69%,51.85%,0.39%,6.59%
DTE Energy,DTE,"? 32,40,00,000.00","? 27,50,00,000.00","? 80,00,000.00","? 94,90,00,000.00","? 45,30,00,000.00","? 45,30,00,000.00","? 18,80,00,000.00","? 4,90,00,000.00","? 3,28,80,00,000.00","? 2,83,50,00,000.00","? 2,33,90,00,000.00","? 27,50,00,000.00",28.98%,47.73%,0.84%,15.12%
DTE Energy,DTE,"? 54,00,00,000.00","? 47,60,00,000.00","? 50,00,000.00","? 1,06,10,00,000.00","? 59,70,00,000.00","? 59,70,00,000.00","? 17,80,00,000.00","? 6,30,00,000.00","? 3,28,40,00,000.00","? 2,68,70,00,000.00","? 2,22,30,00,000.00","? 47,70,00,000.00",44.86%,56.27%,0.47%,11.85%
Duke Energy,DUK,"? 73,40,00,000.00","? 76,50,00,000.00",,"? 2,85,40,00,000.00","? 1,29,80,00,000.00","? 1,29,80,00,000.00","? 57,20,00,000.00","? 3,60,00,000.00","? 5,75,80,00,000.00","? 4,46,00,00,000.00","? 2,90,40,00,000.00","? 69,80,00,000.00",26.80%,45.48%,0.00%,-4.22%
Duke Energy,DUK,"? 1,02,50,00,000.00","? 99,20,00,000.00",,"? 3,02,90,00,000.00","? 1,45,00,00,000.00","? 1,45,00,00,000.00","? 53,50,00,000.00","? 8,40,00,000.00","? 6,15,00,00,000.00","? 4,70,00,00,000.00","? 3,12,10,00,000.00","? 94,10,00,000.00",32.75%,47.87%,0.00%,3.22%
Duke Energy,DUK,"? 31,90,00,000.00","? 6,30,00,000.00",,"? 2,56,40,00,000.00","? 1,02,20,00,000.00","? 1,02,20,00,000.00","? 53,50,00,000.00","? 16,20,00,000.00","? 5,77,70,00,000.00","? 4,75,50,00,000.00","? 3,21,30,00,000.00","? 15,70,00,000.00",-2.46%,39.86%,0.00%,80.25%
Duke Energy,DUK,"? 1,33,90,00,000.00","? 1,30,40,00,000.00",,"? 3,42,00,00,000.00","? 1,87,90,00,000.00","? 1,87,90,00,000.00","? 52,20,00,000.00","? 10,50,00,000.00","? 6,72,10,00,000.00","? 4,84,20,00,000.00","? 3,30,10,00,000.00","? 1,23,40,00,000.00",38.13%,54.94%,0.00%,2.61%
Duke Realty Corp,DRE,"? 8,53,88,000.00","? 7,93,62,000.00","? 2,42,17,000.00","? 19,38,97,000.00","? 7,20,04,000.00","? 7,20,04,000.00","? 2,25,07,000.00","? 51,84,000.00","? 29,26,60,000.00","? 22,06,56,000.00","? 9,87,63,000.00","? 8,02,04,000.00",40.93%,37.14%,12.49%,7.06%
Duke Realty Corp,DRE,"? 16,64,18,000.00","? 16,88,16,000.00","? 1,31,96,000.00","? 19,40,57,000.00","? 8,30,53,000.00","? 8,30,53,000.00","? 2,40,48,000.00","? 39,46,000.00","? 26,92,41,000.00","? 18,61,88,000.00","? 7,51,84,000.00","? 17,03,64,000.00",86.99%,42.80%,6.80%,-1.44%
Duke Realty Corp,DRE,"? 7,15,20,000.00","? 7,18,23,000.00","? 1,14,39,000.00","? 18,30,94,000.00","? 7,72,29,000.00","? 7,72,29,000.00","? 2,30,59,000.00","? 9,56,000.00","? 26,49,56,000.00","? 18,77,27,000.00","? 8,18,62,000.00","? 7,24,76,000.00",39.23%,42.18%,6.25%,-0.42%
Duke Realty Corp,DRE,"? 4,00,47,000.00","? 3,98,20,000.00","? 1,15,06,000.00","? 17,65,15,000.00","? 7,27,25,000.00","? 7,27,25,000.00","? 2,28,41,000.00","? 1,50,000.00","? 24,12,41,000.00","? 16,85,16,000.00","? 6,47,26,000.00","? 4,01,97,000.00",22.56%,41.20%,6.52%,0.57%
DuPont,DD,"? 71,50,00,000.00","? 47,80,00,000.00","? 44,60,00,000.00","? 1,48,00,00,000.00","? 71,90,00,000.00","? 71,90,00,000.00","? 12,90,00,000.00","? 15,10,00,000.00","? 4,13,50,00,000.00","? 3,41,60,00,000.00","? 2,65,50,00,000.00","? 56,40,00,000.00",32.30%,48.58%,30.14%,33.15%
DuPont,DD,"? 57,30,00,000.00","? 5,39,40,00,000.00","? 44,40,00,000.00","? 1,46,40,00,000.00","? 69,70,00,000.00","? 69,70,00,000.00","? 14,60,00,000.00","? 3,20,00,000.00","? 3,97,60,00,000.00","? 3,27,90,00,000.00","? 2,51,20,00,000.00","? 54,10,00,000.00",368.44%,47.61%,30.33%,-841.36%
DuPont,DD,"? 15,60,00,000.00","? 22,20,00,000.00","? 52,90,00,000.00","? 1,73,10,00,000.00","? 45,80,00,000.00","? 45,80,00,000.00","? 19,40,00,000.00","? 12,30,00,000.00","? 5,25,20,00,000.00","? 4,79,40,00,000.00","? 3,52,10,00,000.00","? 27,90,00,000.00",12.82%,26.46%,30.56%,-42.31%
DuPont,DD,"? 2,00,00,000.00","? 7,90,00,000.00","? 51,90,00,000.00","? 1,70,40,00,000.00","? 45,60,00,000.00","? 45,60,00,000.00","? 19,70,00,000.00","? 9,20,00,000.00","? 5,09,60,00,000.00","? 4,64,00,00,000.00","? 3,39,20,00,000.00","? 7,20,00,000.00",-4.64%,26.76%,30.46%,495.00%
DXC Technology,DXC,"? 42,40,00,000.00","? 27,80,00,000.00","? 27,70,00,000.00","? 88,60,00,000.00","? 18,70,00,000.00","? 18,70,00,000.00","? 6,20,00,000.00","? 14,20,00,000.00","? 4,14,10,00,000.00","? 3,95,40,00,000.00","? 3,25,50,00,000.00","? 28,20,00,000.00",31.38%,21.11%,31.26%,34.43%
DXC Technology,DXC,"? 79,30,00,000.00","? 79,80,00,000.00","? 83,20,00,000.00","? 1,01,60,00,000.00","? 29,40,00,000.00","? 29,40,00,000.00","? 7,70,00,000.00","? 1,10,00,000.00","? 4,38,50,00,000.00","? 4,67,90,00,000.00","? 3,36,90,00,000.00","? 80,40,00,000.00",-78.54%,-28.94%,81.89%,-0.63%
DXC Technology,DXC,"? 1,97,80,00,000.00","? 1,09,80,00,000.00","? 31,80,00,000.00","? 95,50,00,000.00","? 16,20,00,000.00","? 16,20,00,000.00","? 8,20,00,000.00","? 87,50,00,000.00","? 4,28,80,00,000.00","? 4,12,60,00,000.00","? 3,33,30,00,000.00","? 1,10,30,00,000.00",114.97%,16.96%,33.30%,44.49%
DXC Technology,DXC,"? 30,60,00,000.00","? 24,40,00,000.00","? 33,90,00,000.00","? 99,10,00,000.00","? 12,70,00,000.00","? 12,70,00,000.00","? 9,60,00,000.00","? 6,00,00,000.00","? 4,55,40,00,000.00","? 4,42,70,00,000.00","? 3,56,30,00,000.00","? 24,60,00,000.00",-24.62%,12.82%,34.21%,20.26%
